question,answer
ログインできません。どうしたらいいですか？,ご不便をおかけして申し訳ありません。まず、インターネット接続を確認してください。それでも解決しない場合、パスワードをリセットしてください。
パスワードを忘れました。,ログイン画面の『パスワードを忘れた場合』リンクから、登録メールアドレスを入力してリセットできます。
アプリが起動しません。,お使いの端末を再起動後、アプリを最新バージョンにアップデートしてください。それでも起動しない場合はサポートまでご連絡ください。
購入した商品が届きません。,ご注文番号を確認の上、カスタマーサポートまでお問い合わせください。配送状況をお調べします。
誤って注文してしまいました。キャンセルできますか？,ご注文から30分以内であれば、マイページの注文履歴からキャンセル可能です。
商品の返品は可能ですか？,商品到着から7日以内であれば返品を承ります。未開封・未使用のものに限ります。
支払い方法には何がありますか？,クレジットカード、PayPay、コンビニ払いがご利用いただけます。
エラーコード123が表示されます。,『エラーコード123』は通信エラーです。端末のネットワーク接続を確認してください。
アカウントを削除したいです。,マイページの『アカウント設定』から削除手続きが可能です。ご不明な場合はサポートまでご相談ください。
領収書を発行したいです。,マイページの注文履歴から、各注文の領収書をPDF形式でダウンロードできます。
